Grid_ID,Longitude,Latitude,Species_N_All,Species_N_Inf,So_Pi,Df_Pi,Co_Pi,Sk_Pi,Um_Pi,Ra_Pi,Cp_Pi,Pa_Pi,Ck_Pi
716,87.8737859,48.21339435,1079,948,0.109704641,0.154008439,0.053797468,0.120253165,0.064345992,0.181434599,0.19092827,0.092827004,0.032700422
717,93.14064077,28.1869205,366,319,0.131661442,0.112852665,0.056426332,0.037617555,0.156739812,0.210031348,0.250783699,0.037617555,0.006269592
718,104.7703475,40.85394902,113,101,0.138613861,0.207920792,0.01980198,0.128712871,0.059405941,0.168316832,0.207920792,0.059405941,0.00990099
719,111.5933732,22.21447625,1103,967,0.162357808,0.265770424,0.027921406,0.112719752,0.072388831,0.175801448,0.082730093,0.100310238,0
720,84.06138943,33.81526306,19,19,0.105263158,0.052631579,0.052631579,0.052631579,0.105263158,0.157894737,0.210526316,0.263157895,0
721,82.25207312,32.48679476,15,15,0.2,0,0.066666667,0,0.066666667,0.266666667,0.333333333,0.066666667,0
722,128.3802655,43.29870851,1144,971,0.108135942,0.148300721,0.054582904,0.132852729,0.078269825,0.203913491,0.146240989,0.096807415,0.030895984
723,113.6595998,25.78403522,600,510,0.174509804,0.233333333,0.043137255,0.074509804,0.096078431,0.235294118,0.060784314,0.080392157,0.001960784
724,110.7610852,37.41213468,945,831,0.114320096,0.185318893,0.051744886,0.104693141,0.08543923,0.198555957,0.128760529,0.104693141,0.026474128
725,79.86593393,32.82669538,187,168,0.130952381,0.119047619,0.083333333,0.160714286,0.041666667,0.142857143,0.125,0.19047619,0.005952381
726,101.3777858,38.90169175,638,577,0.112651646,0.147313692,0.046793761,0.126516464,0.062391681,0.190641248,0.178509532,0.117850953,0.017331023
727,107.6382892,26.71913512,2338,2011,0.143212332,0.236200895,0.05619095,0.084535057,0.101442069,0.205370462,0.072103431,0.093485828,0.007458976
728,93.82073998,30.09604413,325,273,0.142857143,0.10989011,0.062271062,0.087912088,0.106227106,0.201465201,0.205128205,0.076923077,0.007326007
729,80.07519515,41.22476087,425,371,0.140161725,0.132075472,0.051212938,0.188679245,0.04851752,0.150943396,0.150943396,0.107816712,0.029649596
730,87.43388616,41.75957332,33,27,0.222222222,0.148148148,0.037037037,0.074074074,0.037037037,0.148148148,0.222222222,0.074074074,0.037037037
731,75.49654016,40.05255686,437,381,0.141732283,0.13648294,0.044619423,0.144356955,0.060367454,0.199475066,0.199475066,0.05511811,0.018372703
732,91.70378045,39.69964264,81,76,0.105263158,0.039473684,0.052631579,0.144736842,0.065789474,0.210526316,0.236842105,0.144736842,0
733,118.5939912,35.35129276,181,158,0.094936709,0.246835443,0.063291139,0.101265823,0.056962025,0.215189873,0.101265823,0.101265823,0.018987342
