Species,FlowerID,Trait
Bupleurum malconense,F00466,I
Bupleurum marginatum,F00467,I
Bupleurum microcephalum,F00468,I
Bupleurum petiolulatum,F00469,I
Bupleurum polyclonum,F00470,I
Bupleurum pusillum,F00471,I
Bupleurum qinghaiense,F00472,I
Bupleurum rockii,F00473,I
Bupleurum scorzonerifolium,F00474,I
Bupleurum sibiricum,F00475,I
Bupleurum smithii,F00476,I
Bupleurum thianschanicum,F00477,I
Bupleurum triradiatum,F00478,I
Bupleurum wenchuanense,F00479,I
Bupleurum yinchowense,F00480,I
Bupleurum yunnanense,F00481,I
Carlesia sinensis,F00482,I
Carum acaule,F00483,I
Carum bretschneideri,F00484,I
Carum buriaticum,F00485,I
Carum carvi,F00486,I
Cenolophium denudatum,F00487,I
Centella asiatica,F00488,I
Chaerophyllopsis huai,F00489,I
Chaerophyllum involucratum,F00490,I
Chaerophyllum prescottii,F00491,I
Chaerophyllum villosum,F00492,I
Chamaesium delavayi,F00493,I
Chamaesium jiulongense,F00494,I
Chamaesium mallaeanum,F00495,I
Chamaesium novemjugum,F00496,I
Chamaesium paradoxum,F00497,I
Chamaesium thalictrifolium,F00498,I
Chamaesium viridiflorum,F00499,I
Chamaesium wolffianum,F00500,I
Changium smyrnioides,F00501,I
Chuanminshen violaceum,F00502,I
Cicuta virosa,F00503,I
Cnidium dauricum,F00504,I
Cnidium japonicum,F00505,I
Cnidium monnieri,F00506,I
Cnidium salinum,F00507,I
Cnidium sinchianum,F00508,I
Conioselinum acuminatum,F00509,I
Conioselinum anthriscoides,F00510,I
Conioselinum chinense,F00511,I
Conioselinum morrisonense,F00512,I
Conioselinum papyraceum,F00513,I
Conioselinum shanii,F00514,I
Conioselinum smithii,F00515,I
Conioselinum tenuisectum,F00516,I
Conioselinum tenuissimum,F00517,I
Conioselinum vaginatum,F00518,I
Conium maculatum,F00519,I
Coriandrum sativum,F00520,I
Cortia depressa,F00521,I
Cortiella caespitosa,F00522,I
Cortiella cortioides,F00523,I
Cortiella hookeri,F00524,I
Cortiella yatungense,F00525,I
Cryptotaenia japonica,F00526,I
Cuminum borszczowii,F00527,I
Cuminum cyminum,F00528,I
Cyclorhiza peucedanifolia,F00529,I
Cyclorhiza puana,F00530,I
Cyclorhiza waltonii,F00531,I
Cyclospermum leptophyllum,F00532,I
Daucus carota,F00533,I
Dickinsia hydrocotyloides,F00534,I
Dimorphosciadium gayoides,F00535,I
Dimorphosciadium shenii,F00536,I
Elwendia setacea,F00537,I
Eriocycla albescens,F00538,I
Eriocycla nuda,F00539,I
Eriocycla pelliotii,F00540,I
Eryngium foetidum,F00541,I
Eryngium planum,F00542,I
Ferula akitschkensis,F00543,I
Ferula bungeana,F00544,I
Ferula canescens,F00545,I
Ferula caspica,F00546,I
Ferula conocaula,F00547,I
Ferula dissecta,F00548,I
Ferula dubjanskyi,F00549,I
Ferula feruloides,F00550,I
Ferula fukanensis,F00551,I
Ferula gracilis,F00552,I
Ferula hexiensis,F00553,I
Ferula jaeschkeana,F00554,I
Ferula karataviensis,F00555,I
Ferula karelinii,F00556,I
Ferula kingdon-wardii,F00557,I
Ferula kirialovii,F00558,I
Ferula krylovii,F00559,I
Ferula lapidosa,F00560,I
Ferula lehmannii,F00561,I
Ferula leiophylla,F00562,I
Ferula licentiana,F00563,I
Ferula moschata,F00564,I
