FlowerID,Inflorescence,OccNum_All,OccNum_Beetles,OccNum_Flies,OccNum_Bees,OccNum_Wasps,OccNum_Butterflies,OccNum_Moths
F10435,I,0.312728102,0.1875,0.314990512,0.426229508,0.126666667,0.476658477,0.218924972
F10439,I,0.040145985,0.017857143,0.016129032,0.114754098,0.006666667,0.101556102,0.01399776
F10446,I,0.063868613,0,0.030360531,0.06557377,0,0.125307125,0.050951848
F10451,D,0.086678832,0.080357143,0.141366224,0.114754098,0.08,0.105651106,0.041433371
F10453,I,0.07709854,0.008928571,0.018975332,0.06557377,0,0.139230139,0.080067189
F10456,I,0.003877737,0,0,0,0,0.013923014,0
F10458,I,0.113594891,0.25,0.108159393,0.262295082,0.033333333,0.156429156,0.0806271
F10462,I,0.068886861,0.035714286,0.029411765,0.06557377,0.02,0.175266175,0.025755879
F10466,D,0.13435219,0.053571429,0.148956357,0.131147541,0.053333333,0.224406224,0.076147816
F10470,I,0.112910584,0.017857143,0.004743833,0.049180328,0,0.229320229,0.114781635
F10471,I,0.242016423,0.133928571,0.229601518,0.344262295,0.173333333,0.342342342,0.18980963
F10474,D,0.394160584,0.223214286,0.279886148,0.245901639,0.133333333,0.40950041,0.488801792
F10483,I,0.128421533,0.098214286,0.101518027,0.196721311,0.04,0.264537265,0.058230683
F10487,I,0.101961679,0.196428571,0.082542694,0.163934426,0.073333333,0.144963145,0.078387458
F10500,I,0.248403285,0.330357143,0.241935484,0.360655738,0.113333333,0.32022932,0.205487122
F10501,I,0.212363139,0.053571429,0.147058824,0.245901639,0.02,0.38984439,0.154535274
F10502,I,0.353558394,0.366071429,0.282732448,0.393442623,0.18,0.512694513,0.298992161
F10503,I,0.226505474,0.169642857,0.179316888,0.278688525,0.173333333,0.297297297,0.212206047
F10504,I,0.153968978,0.125,0.132827324,0.180327869,0.046666667,0.271908272,0.095744681
F10505,I,0.146441606,0.071428571,0.089184061,0.180327869,0.026666667,0.266994267,0.111422172
F10506,I,0.045164234,0,0.012333966,0.06557377,0.006666667,0.07043407,0.052631579
F10507,I,0.02395073,0.008928571,0.012333966,0.016393443,0,0.04995905,0.016237402
F10508,I,0.257527372,0.080357143,0.205882353,0.360655738,0.073333333,0.44963145,0.179731243
F10509,D,0.075958029,0.008928571,0.051233397,0.049180328,0.013333333,0.13022113,0.063829787
F10510,D,0.126140511,0.035714286,0.066413662,0.081967213,0.026666667,0.258804259,0.086226204
F10511,D,0.087819343,0.008928571,0.026565465,0.081967213,0,0.167076167,0.082306831
F10512,D,0.402828467,0.276785714,0.190702087,0.245901639,0.206666667,0.42014742,0.545912654
F10514,D,0.195255474,0.0625,0.126185958,0.180327869,0.126666667,0.323505324,0.162933931
F10515,D,0.230155109,0.205357143,0.216318786,0.426229508,0.06,0.342342342,0.170772676
F10516,D,0.014826642,0,0.013282732,0.049180328,0,0.035217035,0.002799552
F10517,D,0.051322993,0.008928571,0.036053131,0.098360656,0.006666667,0.061425061,0.058230683
F10518,D,0.220574818,0.258928571,0.181214421,0.37704918,0.093333333,0.375102375,0.141097424
F10520,D,0.083257299,0.053571429,0.042694497,0.06557377,0.006666667,0.17035217,0.056550952
F10523,D,0.213731752,0.053571429,0.135673624,0.245901639,0.066666667,0.392301392,0.159014558
F10524,D,0.105383212,0.044642857,0.071157495,0.098360656,0.006666667,0.190827191,0.079507279
F10525,D,0.492472628,0.366071429,0.326375712,0.459016393,0.32,0.527436527,0.590145577
F10527,D,0.013458029,0,0.0056926,0.016393443,0,0.031941032,0.007278835
F10529,D,0.192518248,0.035714286,0.045540797,0.131147541,0,0.248157248,0.269316909
F10530,D,0.050410584,0.017857143,0.035104364,0.131147541,0.02,0.0999181,0.02743561
F10531,D,0.099224453,0.044642857,0.061669829,0.081967213,0.026666667,0.185913186,0.072228443
F10532,I,0.124315693,0.035714286,0.118595825,0.147540984,0.033333333,0.174447174,0.105823068
F10533,D,0.025091241,0,0.008538899,0.06557377,0.006666667,0.036036036,0.029115342
F10534,D,0.116104015,0.035714286,0.083491461,0.131147541,0.033333333,0.191646192,0.09518477
F10535,D,0.103786496,0.044642857,0.071157495,0.098360656,0.006666667,0.187551188,0.077827548
F10536,D,0.388229927,0.410714286,0.270398482,0.442622951,0.18,0.433251433,0.441209406
F10537,D,0.764826642,0.767857143,0.730550285,0.918032787,0.586666667,0.814086814,0.760918253
F10538,D,0.116332117,0.026785714,0.144212524,0.147540984,0.04,0.176085176,0.069988802
F10539,D,0.046989051,0,0.040796964,0.032786885,0,0.081081081,0.034714446
F10540,D,0.164233577,0.035714286,0.019924099,0.081967213,0,0.19000819,0.25643897
F10541,D,0.105839416,0.035714286,0.078747628,0.081967213,0.006666667,0.19000819,0.077827548
F10542,D,0.056113139,0.017857143,0.058823529,0.081967213,0,0.106470106,0.026315789
F10543,D,0.546989051,0.517857143,0.612903226,0.819672131,0.426666667,0.649467649,0.440649496
F10544,I,0.109945255,0.044642857,0.04459203,0.098360656,0.013333333,0.23996724,0.072228443
F10545,D,0.164233577,0.035714286,0.019924099,0.081967213,0,0.19000819,0.25643897
F10546,D,0.08850365,0.017857143,0.056925996,0.081967213,0.006666667,0.162162162,0.068309071
F10547,D,0.080520073,0.026785714,0.129032258,0.049180328,0.046666667,0.116298116,0.034714446
F10549,D,0.603330292,0.5,0.398481973,0.590163934,0.46,0.66994267,0.697648376
F10551,D,0.078923358,0.035714286,0.023719165,0.081967213,0.066666667,0.16953317,0.053191489
F10552,D,0.292655109,0.214285714,0.120493359,0.229508197,0.053333333,0.341523342,0.388017917
F10553,D,0.261861314,0.267857143,0.241935484,0.360655738,0.106666667,0.361998362,0.214445689
F10555,D,0.093065693,0.017857143,0.076850095,0.114754098,0.086666667,0.161343161,0.060470325
