Grid_ID,H_Rank,H_Rank_NoSo,H_Rank_NoDf,H_Rank_NoCo,H_Rank_NoSk,H_Rank_NoUm,H_Rank_NoRa,H_Rank_NoCp,H_Rank_NoPa,H_Rank_NoCk
932,0.9577981651376147,0.9706422018348624,0.955045871559633,0.9431192660550459,0.9440366972477064,0.9302752293577982,0.9339449541284404,0.9623853211009175,0.9733944954128441,0.8596330275229358
933,0.4908256880733945,0.6165137614678899,0.3688073394495413,0.41467889908256883,0.46055045871559636,0.39174311926605504,0.6128440366972477,0.4779816513761468,0.6880733944954128,0.355045871559633
934,0.42018348623853213,0.40275229357798165,0.3311926605504587,0.5220183486238532,0.39174311926605504,0.6614678899082569,0.5697247706422018,0.3596330275229358,0.3642201834862385,0.24403669724770644
935,0.8752293577981651,0.8706422018348624,0.8073394495412844,0.8211009174311926,0.8642201834862385,0.8192660550458716,0.7889908256880734,0.8935779816513761,0.8211009174311926,0.998165137614679
936,0.3596330275229358,0.3458715596330275,0.41651376146788993,0.30825688073394497,0.3394495412844037,0.39724770642201834,0.3174311926605505,0.40275229357798165,0.3,0.4706422018348624
937,0.14174311926605504,0.13440366972477064,0.2628440366972477,0.12706422018348623,0.14174311926605504,0.11513761467889909,0.11330275229357799,0.1353211009174312,0.1426605504587156,0.15275229357798165
938,0.9834862385321101,0.981651376146789,0.9853211009174312,0.9697247706422019,0.9825688073394495,0.9770642201834863,0.9697247706422019,0.9825688073394495,0.9752293577981651,0.9532110091743119
939,0.29541284403669726,0.28990825688073396,0.21467889908256882,0.2036697247706422,0.8862385321100917,0.24403669724770644,0.37522935779816513,0.28623853211009176,0.3119266055045872,0.1798165137614679
940,0.944954128440367,0.9376146788990826,0.8981651376146789,0.9376146788990826,0.9513761467889909,0.9110091743119266,0.8596330275229358,0.9862385321100917,0.9467889908256881,0.9211009174311927
941,0.5532110091743119,0.5311926605504587,0.6018348623853211,0.5486238532110091,0.5174311926605505,0.46972477064220186,0.4990825688073395,0.6256880733944954,0.5064220183486239,0.636697247706422
942,0.8165137614678899,0.8348623853211009,0.9009174311926605,0.810091743119266,0.7853211009174312,0.8321100917431192,0.6981651376146789,0.7926605504587156,0.7752293577981652,0.8357798165137614
